control1,control2,control3
55.6333333333333,55.0333333333333,51.1
49.4,47.4666666666667,55.0333333333333
98.8,90.3,90.9
257.933333333333,177.933333333333,245.6
1061.33333333333,1044.9,1062.73333333333
767.333333333333,743.466666666667,757.5
53.4333333333333,51.9,52.8
238.533333333333,251.466666666667,258.966666666667
24.5,26.65,25.05
127.433333333333,102.766666666667,91.0666666666667
347.1,309.233333333333,349.7
762,761.066666666667,770.7
606.866666666667,720.433333333333,595.733333333333
1368.36666666667,3150.23333333333,1767.03333333333
17.1,15.6,16.4
78.55,82.35,106.15
222.566666666667,200.166666666667,206.7
41.2,37.7333333333333,43.6666666666667
17.6,17.9,17.2
31302.3333333333,30076.5666666667,31816.6666666667
265.1,254.466666666667,254.466666666667
22.15,19.65,22.1
168.6,146.466666666667,175.666666666667
266.3,258,289.166666666667
26.85,24.4,24.4
4690.3,4778.93333333333,4573.26666666667
137,123.45,133.65
86.7333333333333,179.233333333333,112.733333333333
145.7,122.6,146.9
155.133333333333,150.366666666667,141.833333333333
195.966666666667,186.533333333333,188.8
27.1,22.0666666666667,22.7
89.0333333333333,94.7666666666667,84.5666666666667
21.9,14,22.1
22.9,24,22.5
42.4,29.6333333333333,35.9666666666667
58.5333333333333,46.1,52.5333333333333
30.6,19.6,31.6
254,243.2,255.733333333333
65.7,60.6,71.3666666666667
102.366666666667,99.7333333333333,111.133333333333
30.9,17.25,17.7
199.1,143.933333333333,178.766666666667
116.05,93.85,104.65
76.6,70.2333333333333,67.7666666666667
65.6333333333333,79.0333333333333,71.0666666666667
27.7,20.7,28.9
223.666666666667,199.866666666667,230.3
52.3333333333333,52.0666666666667,54.8
42.7,49.1,38.65
56.5,64.25,62.35
52.4,48.7,53.1
1291.96666666667,1167.86666666667,1219.86666666667
131.566666666667,104.9,126.133333333333
38.2,43.75,38.55
33299.9666666667,25337.0666666667,33600.7
278.1,227.266666666667,267.9
71.4666666666667,69.5666666666667,74.7333333333333
450.866666666667,467.366666666667,457.6
72.1333333333333,80.6666666666667,78.0666666666667
260.766666666667,244.8,277.666666666667
