drug1,drug2,drug3
38.1666666666667,39.85,39.5333333333333
829.966666666667,818.075,780.233333333333
39,42.35,36.4
20.45,19.4333333333333,21
14.7,14.5,19.5
44.15,45.6,37.45
267.666666666667,256.5,241.166666666667
1435.66666666667,1258.325,1193.13333333333
1333.03333333333,1467.35,1318.26666666667
164.166666666667,159.55,194.366666666667
75.7,74.75,63.7666666666667
179.2,170.8,154.633333333333
40.0333333333333,40.375,41.6
37.4333333333333,31.975,36.5
386.766666666667,360.725,365.566666666667
326.933333333333,326.45,300.366666666667
1147.6,1188.575,1153.1
13,12.3,15.9
100.6,96.275,96.0333333333333
30.95,31.8,34.45
80.1333333333333,77.775,79.5333333333333
9.4,13.7,11.2
49.4333333333333,47.6,60.0333333333333
847.033333333333,895.875,833.066666666667
5746.86666666667,5666.25,5598.66666666667
292.733333333333,300.325,261.9
3800.2,3837.475,3798.83333333333
71.4,74.625,76.3333333333333
20,18.425,17.3666666666667
369.766666666667,404.025,370.966666666667
38.8,29.6,23.6
2727.93333333333,2719.625,2807.8
2059.43333333333,1950.65,1826.53333333333
18.05,18.5,16.8
24.9,19.1,20.2
11.55,9.15,9.65
1256.93333333333,1233.1,1152.43333333333
1406.13333333333,1387.125,1260.36666666667
174.466666666667,142.95,115.733333333333
35.3666666666667,32.025,32.9
54.4333333333333,51.975,46.8333333333333
249.533333333333,200.925,244.2
74.9,70.25,76.1666666666667
78.0666666666667,85.15,79.2333333333333
29.4666666666667,32.825,32.9333333333333
105.166666666667,99.025,111.433333333333
381.466666666667,375.35,382.233333333333
58.2666666666667,51.175,52.2666666666667
350.033333333333,363.375,346.666666666667
208.4,231.55,217.366666666667
3265.63333333333,3271.1,3241.46666666667
13.8,11.3,11
159.533333333333,156.575,143.1
172.366666666667,171.925,160.533333333333
15.2,12.5,14.6
501.566666666667,426.85,463.7
592.7,591.35,597.566666666667
386.6,369.55,436.6
89.1,96.4,87.5666666666667
11.3,13.7666666666667,11
9.2,6.3,11.1
37.9333333333333,46.7,46.5
2423.76666666667,2359,2803.23333333333
25.15,24.1,18.65
472.266666666667,451.625,468.466666666667
444.566666666667,408.925,443.8
892.366666666667,834.975,801.733333333333
41.7333333333333,37.15,33.3333333333333
23.3666666666667,18.775,18.2
